line_id,po_id,item_name,category,standard_cost,unit_price,quantity,line_total
LI-000052,PO-00013,O-Ring Kit Viton,mro,936.389,745.863,1,745.863
LI-000053,PO-00014,Technical Training Session,services,240.7769,279.215,4,1116.86
LI-000054,PO-00014,Equipment Calibration,services,424.5832,412.5788,1,412.5788
LI-000055,PO-00014,Courier & Freight Charge,services,129.1105,110.6644,6,663.9864
LI-000056,PO-00014,On-site Repair Service,services,383.0844,434.1266,9,3907.1394
LI-000057,PO-00014,Technical Training Session,services,315.7481,374.2616,1,374.2616
LI-000058,PO-00014,Equipment Calibration,services,498.0172,430.5881,2,861.1762
LI-000059,PO-00015,Chain Lubricant 1gal,mro,362.2522,416.8224,29,12087.8496
LI-000060,PO-00015,Cutting Disc 4.5in,mro,590.6463,596.2123,16,9539.3968
LI-000061,PO-00016,Grease Cartridge EP2,mro,739.4553,614.4634,17,10445.8778
LI-000062,PO-00016,Grease Cartridge EP2,mro,353.2015,384.0648,35,13442.268
LI-000063,PO-00017,Nylon Pellets 50lb,direct_materials,1666.1045,1653.5799,129,213311.8071
LI-000064,PO-00017,Polypropylene Resin,direct_materials,646.1778,647.3094,458,296467.7052
LI-000065,PO-00017,Nylon Pellets 50lb,direct_materials,3830.414,3882.1933,266,1032663.4178
LI-000066,PO-00018,Safety Gloves Nitrile L,mro,1427.5182,1654.3871,44,72793.0324
LI-000067,PO-00018,Wire Brush Set,mro,397.2494,407.0291,5,2035.1455
LI-000068,PO-00018,Wire Brush Set,mro,960.4141,782.0108,4,3128.0432
LI-000069,PO-00018,Safety Gloves Nitrile L,mro,846.7023,894.283,24,21462.792
LI-000070,PO-00018,Bearing 6205-2RS,mro,89.1543,73.566,22,1618.452
LI-000071,PO-00018,O-Ring Kit Viton,mro,200.0769,187.7024,42,7883.5008
LI-000072,PO-00019,Cutting Disc 4.5in,mro,749.7782,810.0286,43,34831.2298
LI-000073,PO-00019,Cutting Disc 4.5in,mro,1920.7183,1990.0746,15,29851.119
LI-000074,PO-00019,Wire Brush Set,mro,103.8256,120.5207,25,3013.0175
LI-000075,PO-00019,Bearing 6205-2RS,mro,1107.1502,1200.5083,13,15606.6079
LI-000076,PO-00019,Safety Gloves Nitrile L,mro,139.7789,146.2014,2,292.4028
LI-000077,PO-00019,Cutting Disc 4.5in,mro,21.3573,20.0734,30,602.202
LI-000078,PO-00020,Aluminum Sheet 6061,direct_materials,890.9577,884.2538,349,308604.5762
LI-000079,PO-00020,Aluminum Sheet 6061,direct_materials,679.7102,682.4123,128,87348.7744
LI-000080,PO-00020,Aluminum Sheet 6061,direct_materials,1892.3599,1825.3675,139,253726.0825
LI-000081,PO-00020,Nylon Pellets 50lb,direct_materials,513.7324,518.2469,68,35240.7892
LI-000082,PO-00020,Polypropylene Resin,direct_materials,1260.4899,1230.879,23,28310.217
LI-000083,PO-00021,Hydraulic Filter HF-200,mro,1644.6252,1472.701,12,17672.412
LI-000084,PO-00021,Hydraulic Filter HF-200,mro,1068.0769,1093.694,15,16405.41
LI-000085,PO-00021,Wire Brush Set,mro,1330.1729,1198.8745,18,21579.741
LI-000086,PO-00021,V-Belt B68,mro,642.6434,748.0341,34,25433.1594
LI-000087,PO-00022,Bearing 6205-2RS,mro,510.7582,395.7103,32,12662.7296
LI-000088,PO-00022,Bearing 6205-2RS,mro,409.1896,438.8851,28,12288.7828
LI-000089,PO-00023,Hydraulic Filter HF-200,mro,381.9973,452.3647,39,17642.2233
LI-000090,PO-00023,Hydraulic Filter HF-200,mro,567.0925,765.6272,13,9953.1536
LI-000091,PO-00023,Hydraulic Filter HF-200,mro,1553.6356,1299.0134,48,62352.6432
LI-000092,PO-00023,V-Belt B68,mro,1094.5038,1115.5469,39,43506.3291
LI-000093,PO-00023,Replacement Seal Kit,mro,737.2857,679.065,4,2716.26
LI-000094,PO-00024,First Aid Kit OSHA,indirect,900.6,845.9234,18,15226.6212
LI-000095,PO-00024,Packaging Foam Sheet,indirect,2717.7854,2518.0342,9,22662.3078
LI-000096,PO-00024,Office Supply Bundle,indirect,2709.4089,2801.1271,2,5602.2542
LI-000097,PO-00025,Wire Brush Set,mro,375.4425,339.0836,35,11867.926
LI-000098,PO-00025,V-Belt B68,mro,1527.8085,1076.0521,6,6456.3126
LI-000099,PO-00025,Grease Cartridge EP2,mro,630.1027,579.9413,7,4059.5891
LI-000100,PO-00025,Wire Brush Set,mro,421.9868,416.2223,15,6243.3345
LI-000101,PO-00026,Replacement Seal Kit,mro,972.59,1082.4119,22,23813.0618
LI-000102,PO-00026,V-Belt B68,mro,814.7754,950.1553,48,45607.4544
LI-000103,PO-00026,Bearing 6205-2RS,mro,395.0637,404.1418,46,18590.5228
LI-000104,PO-00026,Bearing 6205-2RS,mro,955.7497,718.2166,1,718.2166
LI-000105,PO-00026,Grease Cartridge EP2,mro,1995.1522,1819.5537,47,85519.0239
LI-000106,PO-00027,Bearing 6205-2RS,mro,1658.693,1494.5418,18,26901.7524
LI-000107,PO-00027,Bearing 6205-2RS,mro,237.7102,265.7171,29,7705.7959
LI-000108,PO-00027,Safety Gloves Nitrile L,mro,1526.5112,1812.1748,22,39867.8456
LI-000109,PO-00029,PPE Restocking Kit,indirect,1442.7027,1053.8459,14,14753.8426
LI-000110,PO-00029,First Aid Kit OSHA,indirect,1538.5599,1513.7213,3,4541.1639
LI-000111,PO-00030,Janitorial Supply Box,indirect,2189.7836,2157.6194,16,34521.9104
LI-000112,PO-00030,Janitorial Supply Box,indirect,2670.6223,2554.2482,6,15325.4892
LI-000113,PO-00030,Cable Ties Assorted,indirect,1609.6387,1501.3197,3,4503.9591
LI-000114,PO-00030,Office Supply Bundle,indirect,713.7271,829.4348,12,9953.2176
LI-000115,PO-00030,Janitorial Supply Box,indirect,2355.7449,2729.7972,14,38217.1608
LI-000116,PO-00030,Office Supply Bundle,indirect,2121.4944,1892.8609,14,26500.0526
LI-000117,PO-00031,Chain Lubricant 1gal,mro,189.8524,230.4551,35,8065.9285
LI-000118,PO-00031,V-Belt B68,mro,1676.5135,1782.5478,26,46346.2428
LI-000119,PO-00031,Safety Gloves Nitrile L,mro,384.9818,515.7188,46,23723.0648
LI-000120,PO-00032,Grease Cartridge EP2,mro,845.1623,788.7607,2,1577.5214
LI-000121,PO-00032,Chain Lubricant 1gal,mro,965.7012,727.5194,9,6547.6746
LI-000122,PO-00032,Chain Lubricant 1gal,mro,1571.4086,1575.7796,31,48849.1676
LI-000123,PO-00032,Cutting Disc 4.5in,mro,1491.4648,1355.8479,26,35252.0454
LI-000124,PO-00032,Wire Brush Set,mro,1399.0323,1157.0867,38,43969.2946
LI-000125,PO-00032,O-Ring Kit Viton,mro,601.7737,571.8029,36,20584.9044
LI-000126,PO-00033,Chain Lubricant 1gal,mro,1568.3648,1423.0265,20,28460.53
LI-000127,PO-00033,Grease Cartridge EP2,mro,33.2591,36.0548,36,1297.9728
LI-000128,PO-00034,Packaging Foam Sheet,indirect,496.8398,489.7605,13,6366.8865
LI-000129,PO-00034,PPE Restocking Kit,indirect,2055.9978,2130.2335,20,42604.67
LI-000130,PO-00034,First Aid Kit OSHA,indirect,473.2823,493.2462,4,1972.9848
LI-000131,PO-00034,Printer Toner Set,indirect,1201.6674,1162.4661,15,17436.9915
LI-000132,PO-00034,Storage Bin Set,indirect,1995.0572,2504.7137,20,50094.274
LI-000133,PO-00035,Waste Disposal Service,services,569.795,418.5478,4,1674.1912
LI-000134,PO-00035,Cleaning Contract Monthly,services,1497.9306,1269.2876,10,12692.876
LI-000135,PO-00036,Waste Disposal Service,services,366.6336,513.0313,4,2052.1252
LI-000136,PO-00036,On-site Repair Service,services,818.5331,815.6631,8,6525.3048
LI-000137,PO-00036,Inspection & Audit Service,services,1464.3409,1175.3839,4,4701.5356
LI-000138,PO-00036,Inspection & Audit Service,services,625.1259,731.4319,3,2194.2957
LI-000139,PO-00036,Software License Annual,services,1124.3948,931.1737,2,1862.3474
LI-000140,PO-00037,Wire Brush Set,mro,1191.1386,1368.5017,19,26001.5323
LI-000141,PO-00037,Grease Cartridge EP2,mro,1024.0376,1183.7227,43,50900.0761
LI-000142,PO-00037,Chain Lubricant 1gal,mro,1177.0017,1209.3202,49,59256.6898
LI-000143,PO-00037,Hydraulic Filter HF-200,mro,1737.5725,1478.0314,6,8868.1884
LI-000144,PO-00037,V-Belt B68,mro,1411.208,1346.7336,17,22894.4712
LI-000145,PO-00038,Bearing 6205-2RS,mro,32.9647,28.0336,1,28.0336
LI-000146,PO-00038,Hydraulic Filter HF-200,mro,331.8283,334.189,26,8688.914
LI-000147,PO-00038,Hydraulic Filter HF-200,mro,612.0197,692.4184,23,15925.6232
LI-000148,PO-00038,Bearing 6205-2RS,mro,415.8808,283.5016,20,5670.032
LI-000149,PO-00038,Cutting Disc 4.5in,mro,909.4511,1024.5558,11,11270.1138
LI-000150,PO-00039,Hydraulic Filter HF-200,mro,210.2101,238.3663,29,6912.6227
LI-000151,PO-00039,Wire Brush Set,mro,136.5886,119.8611,3,359.5833
LI-000152,PO-00039,Cutting Disc 4.5in,mro,312.0747,296.3838,43,12744.5034
LI-000153,PO-00039,Bearing 6205-2RS,mro,1506.88,1272.0928,8,10176.7424
LI-000154,PO-00039,O-Ring Kit Viton,mro,476.1478,437.2729,18,7870.9122
LI-000155,PO-00039,O-Ring Kit Viton,mro,948.6124,1033.7429,23,23776.0867
LI-000156,PO-00040,Grease Cartridge EP2,mro,61.4528,58.4579,23,1344.5317
LI-000157,PO-00040,Hydraulic Filter HF-200,mro,190.7362,216.2257,42,9081.4794
LI-000158,PO-00040,Cutting Disc 4.5in,mro,1304.817,1405.3593,15,21080.3895
LI-000159,PO-00040,Chain Lubricant 1gal,mro,1557.2072,1585.0099,17,26945.1683
LI-000160,PO-00040,Grease Cartridge EP2,mro,1667.4927,1242.9588,28,34802.8464
LI-000161,PO-00041,Replacement Seal Kit,mro,1220.9895,1244.0508,4,4976.2032
LI-000162,PO-00041,Grease Cartridge EP2,mro,931.1788,814.8062,48,39110.6976
LI-000163,PO-00041,Replacement Seal Kit,mro,36.958,40.5198,41,1661.3118
LI-000164,PO-00041,Cutting Disc 4.5in,mro,259.114,224.8808,11,2473.6888
LI-000165,PO-00042,Technical Training Session,services,295.9179,312.0895,5,1560.4475
LI-000166,PO-00042,Equipment Calibration,services,1263.422,1227.7041,7,8593.9287
LI-000167,PO-00042,Preventive Maintenance Visit,services,1551.5757,961.0208,10,9610.208
LI-000168,PO-00042,Technical Training Session,services,282.117,304.6813,6,1828.0878
LI-000169,PO-00043,Preventive Maintenance Visit,services,304.5909,323.4214,2,646.8428
LI-000170,PO-00043,Technical Training Session,services,181.2241,186.7094,8,1493.6752
LI-000171,PO-00043,Software License Annual,services,777.2575,1098.1926,5,5490.963
LI-000172,PO-00043,Preventive Maintenance Visit,services,959.6924,969.0917,2,1938.1834
LI-000173,PO-00043,Preventive Maintenance Visit,services,956.4165,1057.139,6,6342.834
LI-000174,PO-00043,Preventive Maintenance Visit,services,709.195,679.182,5,3395.91
LI-000175,PO-00044,Safety Gloves Nitrile L,mro,1803.8216,1853.6818,46,85269.3628
LI-000176,PO-00044,Grease Cartridge EP2,mro,1470.2838,1366.7527,50,68337.635
LI-000177,PO-00044,Cutting Disc 4.5in,mro,1303.6251,1549.3701,11,17043.0711
LI-000178,PO-00045,Wire Brush Set,mro,1453.0619,1534.3986,41,62910.3426
LI-000179,PO-00045,Replacement Seal Kit,mro,92.5567,105.258,19,1999.902
LI-000180,PO-00045,Grease Cartridge EP2,mro,730.0483,670.6998,31,20791.6938
LI-000181,PO-00045,Grease Cartridge EP2,mro,381.2621,373.5282,21,7844.0922
LI-000182,PO-00045,Cutting Disc 4.5in,mro,1530.3533,1533.507,9,13801.563
LI-000183,PO-00046,Copper Tubing 1in,direct_materials,3483.5449,3408.7328,151,514718.6528
LI-000184,PO-00046,Polypropylene Resin,direct_materials,2880.1282,2817.7573,325,915771.1225
LI-000185,PO-00047,Wire Brush Set,mro,101.7774,92.4394,21,1941.2274
LI-000186,PO-00047,Hydraulic Filter HF-200,mro,1225.2904,1500.2198,24,36005.2752
LI-000187,PO-00047,Cutting Disc 4.5in,mro,1531.0445,1442.1857,17,24517.1569
LI-000188,PO-00047,Safety Gloves Nitrile L,mro,1158.3593,1131.0685,18,20359.233
LI-000189,PO-00047,Cutting Disc 4.5in,mro,1158.6219,1098.3414,38,41736.9732
LI-000190,PO-00048,Carbon Fiber Roll,direct_materials,445.1688,463.1963,264,122283.8232
LI-000191,PO-00048,Zinc Ingot 99.9%,direct_materials,1128.0082,1134.9656,406,460796.0336
LI-000192,PO-00049,Technical Training Session,services,767.726,1066.6937,7,7466.8559
LI-000193,PO-00049,Technical Training Session,services,969.7118,861.7321,1,861.7321
LI-000194,PO-00050,Cable Ties Assorted,indirect,2563.2669,2304.2284,6,13825.3704
LI-000195,PO-00050,PPE Restocking Kit,indirect,272.5674,286.3269,3,858.9807
LI-000196,PO-00050,Storage Bin Set,indirect,1905.2275,1882.0311,14,26348.4354
LI-000197,PO-00050,Packaging Foam Sheet,indirect,2470.1478,2655.6597,1,2655.6597
LI-000198,PO-00051,Grease Cartridge EP2,mro,1623.5225,1632.563,22,35916.386
LI-000199,PO-00051,Replacement Seal Kit,mro,966.3606,1063.341,13,13823.433
LI-000200,PO-00051,Cutting Disc 4.5in,mro,586.5835,610.3521,44,26855.4924
LI-000201,PO-00051,Replacement Seal Kit,mro,1975.7113,1756.6399,27,47429.2773
LI-000202,PO-00051,O-Ring Kit Viton,mro,1268.9669,1086.5293,50,54326.465
LI-000203,PO-00051,Wire Brush Set,mro,1744.4323,1810.5451,39,70611.2589
LI-000204,PO-00052,O-Ring Kit Viton,mro,1260.5888,1346.4623,2,2692.9246
LI-000205,PO-00052,Bearing 6205-2RS,mro,571.9607,573.5656,9,5162.0904
LI-000206,PO-00052,Chain Lubricant 1gal,mro,408.1942,463.2191,10,4632.191
LI-000207,PO-00052,Safety Gloves Nitrile L,mro,567.6769,533.9815,37,19757.3155
LI-000208,PO-00052,Wire Brush Set,mro,1464.1371,1267.6099,43,54507.2257
LI-000209,PO-00052,Wire Brush Set,mro,1160.4133,1281.2749,23,29469.3227
LI-000210,PO-00053,Safety Gloves Nitrile L,mro,1965.9768,2084.2214,43,89621.5202
LI-000211,PO-00053,Replacement Seal Kit,mro,113.5361,112.6463,3,337.9389
LI-000212,PO-00053,O-Ring Kit Viton,mro,1806.1497,1536.8337,25,38420.8425
LI-000213,PO-00053,O-Ring Kit Viton,mro,516.3371,488.6738,17,8307.4546
LI-000214,PO-00054,Consulting Day Rate,services,255.282,268.3085,2,536.617
LI-000215,PO-00054,Software License Annual,services,588.1889,544.4646,5,2722.323
LI-000216,PO-00054,Equipment Calibration,services,574.0688,640.266,3,1920.798
LI-000217,PO-00054,Waste Disposal Service,services,882.0948,917.3125,5,4586.5625
LI-000218,PO-00054,Technical Training Session,services,387.9653,309.2657,2,618.5314
LI-000219,PO-00054,Cleaning Contract Monthly,services,1679.2466,1533.9799,5,7669.8995
LI-000220,PO-00055,Grease Cartridge EP2,mro,412.8677,352.4136,16,5638.6176
LI-000221,PO-00055,Cutting Disc 4.5in,mro,1171.9742,1276.7222,18,22980.9996
LI-000222,PO-00056,Titanium Rod 0.5in,direct_materials,3062.553,3086.4262,272,839507.9264
LI-000223,PO-00056,Titanium Rod 0.5in,direct_materials,2414.4861,2453.0866,179,439102.5014
LI-000224,PO-00056,Nylon Pellets 50lb,direct_materials,3879.4864,3795.1293,364,1381427.0652
LI-000225,PO-00057,Wire Brush Set,mro,1104.8785,1121.0793,13,14574.0309
LI-000226,PO-00057,Bearing 6205-2RS,mro,1429.2866,1369.2744,25,34231.86
LI-000227,PO-00058,Label Stock 4x6,indirect,445.0498,552.8713,9,4975.8417
LI-000228,PO-00058,Storage Bin Set,indirect,503.6938,445.0915,9,4005.8235
LI-000229,PO-00059,Bearing 6205-2RS,mro,706.5621,605.6082,46,27857.9772
LI-000230,PO-00059,V-Belt B68,mro,147.474,131.8252,31,4086.5812
LI-000231,PO-00059,Safety Gloves Nitrile L,mro,1609.4769,1504.1361,38,57157.1718
LI-000232,PO-00059,Cutting Disc 4.5in,mro,1165.7477,1260.7338,37,46647.1506
LI-000233,PO-00059,Hydraulic Filter HF-200,mro,1421.2267,1671.0021,9,15039.0189
LI-000234,PO-00059,Grease Cartridge EP2,mro,422.0996,403.0494,15,6045.741
LI-000235,PO-00060,Bearing 6205-2RS,mro,694.8064,686.2482,18,12352.4676
LI-000236,PO-00060,Safety Gloves Nitrile L,mro,708.1204,713.721,30,21411.63
LI-000237,PO-00060,V-Belt B68,mro,87.3406,93.1925,44,4100.47
LI-000238,PO-00060,Chain Lubricant 1gal,mro,757.4052,812.7104,35,28444.864
LI-000239,PO-00060,Cutting Disc 4.5in,mro,1848.0546,2179.1542,6,13074.9252
LI-000240,PO-00060,Bearing 6205-2RS,mro,566.1583,559.2562,37,20692.4794
LI-000241,PO-00061,Bearing 6205-2RS,mro,1973.6798,1754.2288,15,26313.432
LI-000242,PO-00061,Replacement Seal Kit,mro,496.3129,439.6916,50,21984.58
LI-000243,PO-00061,Hydraulic Filter HF-200,mro,1130.1551,1290.4525,31,40004.0275
LI-000244,PO-00062,Replacement Seal Kit,mro,819.2756,649.7098,11,7146.8078
LI-000245,PO-00062,Cutting Disc 4.5in,mro,629.0726,587.4467,24,14098.7208
LI-000246,PO-00062,Hydraulic Filter HF-200,mro,1414.6017,1351.9273,6,8111.5638
LI-000247,PO-00063,Nylon Pellets 50lb,direct_materials,1087.1365,1113.4404,302,336259.0008
LI-000248,PO-00063,Copper Tubing 1in,direct_materials,635.23,636.4384,491,312491.2544
LI-000249,PO-00063,Aluminum Sheet 6061,direct_materials,113.0743,112.8753,103,11626.1559
LI-000250,PO-00064,Chain Lubricant 1gal,mro,537.4865,537.3995,50,26869.975
LI-000251,PO-00064,Chain Lubricant 1gal,mro,417.4438,385.8782,2,771.7564
LI-000252,PO-00064,Grease Cartridge EP2,mro,1570.789,1565.6795,20,31313.59
LI-000253,PO-00065,V-Belt B68,mro,1792.0268,1404.808,26,36525.008
LI-000254,PO-00065,Hydraulic Filter HF-200,mro,495.7408,530.5746,38,20161.8348
LI-000255,PO-00066,Hydraulic Filter HF-200,mro,256.929,237.4518,47,11160.2346
LI-000256,PO-00066,Cutting Disc 4.5in,mro,218.2072,205.2992,48,9854.3616
LI-000257,PO-00066,Safety Gloves Nitrile L,mro,674.9039,759.8657,1,759.8657
LI-000258,PO-00066,Chain Lubricant 1gal,mro,1294.1375,1367.0152,24,32808.3648
LI-000259,PO-00066,Chain Lubricant 1gal,mro,402.3151,436.1247,30,13083.741
LI-000260,PO-00067,Safety Gloves Nitrile L,mro,1959.8465,2122.4913,24,50939.7912
LI-000261,PO-00067,V-Belt B68,mro,1174.7954,1518.2857,24,36438.8568
LI-000262,PO-00068,O-Ring Kit Viton,mro,1850.2048,1735.7969,19,32980.1411
LI-000263,PO-00068,Bearing 6205-2RS,mro,490.2201,503.9266,9,4535.3394
LI-000264,PO-00068,Chain Lubricant 1gal,mro,121.0099,108.0064,9,972.0576
LI-000265,PO-00068,Replacement Seal Kit,mro,1994.5532,1739.4947,34,59142.8198
LI-000266,PO-00069,Replacement Seal Kit,mro,1774.4659,1671.7158,34,56838.3372
LI-000267,PO-00069,Chain Lubricant 1gal,mro,434.8503,434.0746,44,19099.2824
LI-000268,PO-00069,Wire Brush Set,mro,1455.3661,1348.0345,32,43137.104
LI-000269,PO-00069,Replacement Seal Kit,mro,1847.9694,1428.3592,41,58562.7272
LI-000270,PO-00070,V-Belt B68,mro,116.6718,95.641,33,3156.153
LI-000271,PO-00070,Wire Brush Set,mro,1456.5545,1418.4512,15,21276.768
LI-000272,PO-00070,V-Belt B68,mro,1905.2898,1762.3496,32,56395.1872
LI-000273,PO-00071,Office Supply Bundle,indirect,1541.5033,1404.3223,1,1404.3223
LI-000274,PO-00071,Cable Ties Assorted,indirect,2302.7204,1987.67,2,3975.34
LI-000275,PO-00071,First Aid Kit OSHA,indirect,1430.5541,1749.2091,13,22739.7183
LI-000276,PO-00071,Office Supply Bundle,indirect,1616.7109,1735.4825,19,32974.1675
LI-000277,PO-00071,Office Supply Bundle,indirect,674.5303,690.5513,16,11048.8208
LI-000278,PO-00072,Packaging Foam Sheet,indirect,2064.4614,2392.8536,4,9571.4144
LI-000279,PO-00072,Office Supply Bundle,indirect,510.2728,489.2947,5,2446.4735
LI-000280,PO-00072,Office Supply Bundle,indirect,2909.0774,2242.4039,13,29151.2507
LI-000281,PO-00072,Printer Toner Set,indirect,1552.5866,1489.0375,17,25313.6375
LI-000282,PO-00072,First Aid Kit OSHA,indirect,551.6553,529.4909,2,1058.9818
LI-000283,PO-00073,Stainless Plate 304,direct_materials,545.7999,593.6769,264,156730.7016
LI-000284,PO-00073,Aluminum Sheet 6061,direct_materials,3796.8892,3754.542,282,1058780.844
LI-000285,PO-00073,Brass Fitting 3/4in,direct_materials,2226.4505,2238.6375,312,698454.9
LI-000286,PO-00073,Copper Tubing 1in,direct_materials,4450.0135,4444.9101,483,2146891.5783
LI-000287,PO-00074,O-Ring Kit Viton,mro,1446.53,1476.2218,24,35429.3232
LI-000288,PO-00074,Cutting Disc 4.5in,mro,45.5721,47.638,12,571.656
LI-000289,PO-00074,O-Ring Kit Viton,mro,126.3684,130.9852,39,5108.4228
LI-000290,PO-00074,Replacement Seal Kit,mro,233.7176,188.4594,18,3392.2692
LI-000291,PO-00074,Safety Gloves Nitrile L,mro,525.7101,466.8116,35,16338.406
LI-000292,PO-00074,Cutting Disc 4.5in,mro,572.5115,639.3895,27,17263.5165
LI-000293,PO-00075,Wire Brush Set,mro,1946.7369,1871.2755,28,52395.714
LI-000294,PO-00075,Replacement Seal Kit,mro,40.5492,42.3918,44,1865.2392
LI-000295,PO-00075,Replacement Seal Kit,mro,539.3553,508.6244,18,9155.2392
LI-000296,PO-00075,Chain Lubricant 1gal,mro,1832.3647,1841.8596,10,18418.596
LI-000297,PO-00076,Label Stock 4x6,indirect,557.7445,530.1159,13,6891.5067
LI-000298,PO-00076,Cable Ties Assorted,indirect,2839.4336,2005.2535,9,18047.2815
LI-000299,PO-00077,Grease Cartridge EP2,mro,521.264,597.3256,44,26282.3264
LI-000300,PO-00077,Hydraulic Filter HF-200,mro,1869.6004,1627.4869,23,37432.1987
LI-000301,PO-00077,Wire Brush Set,mro,1311.5295,1274.9355,37,47172.6135
LI-000302,PO-00078,V-Belt B68,mro,667.6239,717.332,27,19367.964
LI-000303,PO-00078,Grease Cartridge EP2,mro,307.9651,326.2439,43,14028.4877
LI-000304,PO-00078,Bearing 6205-2RS,mro,1460.8724,1302.9949,21,27362.8929
LI-000305,PO-00078,Bearing 6205-2RS,mro,996.2923,897.2978,50,44864.89
LI-000306,PO-00078,Hydraulic Filter HF-200,mro,717.8064,838.2462,31,25985.6322
LI-000307,PO-00078,Cutting Disc 4.5in,mro,1976.1649,2102.7603,34,71493.8502
