receipt_id,po_id,supplier_id,received_date,qty_ordered,qty_received,qty_rejected,on_time,in_full
GR-00056,PO-00058,SUP-032,2025-11-10,18,18,0,True,True
GR-00058,PO-00060,SUP-031,2025-02-15,170,170,0,True,True
GR-00059,PO-00061,SUP-031,2025-02-25,96,96,0,True,True
GR-00060,PO-00062,SUP-006,2026-02-06,41,38,0,True,False
GR-00061,PO-00063,SUP-046,2024-02-09,896,896,0,True,True
GR-00062,PO-00064,SUP-031,2025-06-29,72,72,0,True,True
GR-00063,PO-00065,SUP-021,2025-06-25,64,64,0,True,True
GR-00064,PO-00066,SUP-031,2024-05-19,150,150,0,True,True
GR-00065,PO-00067,SUP-031,2026-01-17,48,48,0,True,True
GR-00066,PO-00068,SUP-031,2024-12-07,71,71,0,True,True
GR-00067,PO-00069,SUP-021,2024-08-27,151,151,0,True,True
GR-00068,PO-00070,SUP-021,2024-03-25,80,80,0,True,True
GR-00069,PO-00071,SUP-048,2024-08-18,51,51,0,True,True
GR-00070,PO-00072,SUP-001,2024-11-05,41,41,0,True,True
GR-00071,PO-00073,SUP-009,2025-11-09,1341,1341,0,False,True
GR-00072,PO-00074,SUP-035,2024-04-26,155,155,0,True,True
GR-00073,PO-00075,SUP-031,2025-03-02,100,100,0,True,True
GR-00074,PO-00076,SUP-001,2024-08-17,22,22,0,True,True
GR-00075,PO-00077,SUP-031,2024-10-27,104,104,0,True,True
GR-00077,PO-00079,SUP-031,2025-04-16,26,26,0,True,True
GR-00078,PO-00080,SUP-009,2024-12-30,726,726,0,True,True
GR-00079,PO-00081,SUP-009,2025-08-01,1103,1103,0,True,True
GR-00080,PO-00082,SUP-019,2026-01-05,25,22,0,True,False
GR-00081,PO-00084,SUP-018,2026-02-20,13,13,0,True,True
GR-00082,PO-00085,SUP-005,2026-02-08,20,19,0,False,False
GR-00083,PO-00086,SUP-019,2025-11-15,34,34,0,True,True
GR-00084,PO-00087,SUP-006,2025-07-06,97,97,0,True,True
GR-00085,PO-00088,SUP-031,2024-02-16,55,55,0,True,True
GR-00086,PO-00089,SUP-001,2024-06-01,40,40,2,True,True
GR-00088,PO-00091,SUP-009,2024-03-15,2005,2005,0,True,True
GR-00089,PO-00092,SUP-031,2024-03-20,13,13,0,True,True
GR-00090,PO-00093,SUP-031,2026-02-12,58,58,0,True,True
GR-00091,PO-00094,SUP-031,2025-09-24,98,98,0,True,True
GR-00092,PO-00096,SUP-014,2025-06-01,64,64,0,True,True
GR-00093,PO-00097,SUP-039,2025-10-14,11,11,0,True,True
GR-00094,PO-00098,SUP-008,2024-12-28,8,6,0,False,False
GR-00095,PO-00099,SUP-037,2026-01-10,914,656,0,True,False
GR-00096,PO-00100,SUP-031,2025-11-23,124,124,0,True,True
GR-00097,PO-00101,SUP-007,2024-01-25,34,34,0,True,True
GR-00098,PO-00102,SUP-006,2024-08-02,47,47,0,True,True
GR-00099,PO-00103,SUP-006,2025-11-20,150,150,0,True,True
GR-00100,PO-00104,SUP-031,2025-09-17,72,72,0,True,True
GR-00101,PO-00105,SUP-031,2024-01-15,74,74,0,True,True
GR-00102,PO-00106,SUP-031,2024-12-08,165,165,0,True,True
GR-00103,PO-00107,SUP-007,2024-09-23,24,24,0,True,True
GR-00104,PO-00108,SUP-009,2025-11-21,1375,1375,0,True,True
GR-00105,PO-00109,SUP-009,2025-09-16,1257,1257,0,True,True
GR-00106,PO-00110,SUP-031,2025-03-13,87,87,0,True,True
GR-00107,PO-00111,SUP-021,2025-11-15,30,30,0,True,True
GR-00108,PO-00112,SUP-021,2024-06-17,41,41,0,False,True
GR-00109,PO-00113,SUP-006,2025-12-09,80,80,0,True,True
GR-00110,PO-00114,SUP-029,2024-10-01,14,9,0,True,False
GR-00111,PO-00115,SUP-004,2024-11-29,802,802,0,True,True
GR-00112,PO-00116,SUP-039,2024-07-03,21,21,0,True,True
GR-00113,PO-00117,SUP-031,2024-09-12,88,88,0,True,True
GR-00114,PO-00118,SUP-022,2024-09-23,69,69,0,True,True
GR-00115,PO-00119,SUP-031,2024-10-22,139,139,0,True,True
GR-00116,PO-00120,SUP-047,2025-02-03,1348,1348,0,True,True
GR-00117,PO-00121,SUP-006,2024-07-31,58,58,0,True,True
GR-00118,PO-00122,SUP-031,2026-01-23,118,118,0,True,True
GR-00119,PO-00124,SUP-031,2026-01-17,78,78,0,True,True
GR-00120,PO-00125,SUP-009,2025-03-30,1752,1752,0,True,True
GR-00121,PO-00126,SUP-031,2025-07-02,150,150,0,True,True
GR-00122,PO-00127,SUP-031,2024-03-30,120,120,0,True,True
GR-00123,PO-00128,SUP-006,2024-03-22,66,66,0,True,True
GR-00124,PO-00130,SUP-011,2024-08-16,69,50,0,False,False
GR-00125,PO-00131,SUP-021,2024-05-16,137,137,0,True,True
GR-00126,PO-00132,SUP-001,2025-05-26,67,67,0,True,True
GR-00127,PO-00133,SUP-029,2025-01-19,13,13,0,True,True
GR-00128,PO-00134,SUP-009,2025-05-20,1280,1280,0,True,True
GR-00129,PO-00135,SUP-007,2025-02-15,25,25,0,True,True
GR-00130,PO-00136,SUP-010,2025-07-12,56,36,0,True,False
GR-00131,PO-00137,SUP-006,2025-09-03,131,131,0,True,True
GR-00132,PO-00138,SUP-007,2024-08-13,38,34,0,True,False
GR-00133,PO-00139,SUP-031,2024-12-02,137,137,0,True,True
GR-00134,PO-00140,SUP-021,2024-09-05,48,48,0,True,True
GR-00135,PO-00141,SUP-006,2025-10-09,191,191,0,True,True
GR-00136,PO-00142,SUP-027,2024-03-14,28,28,0,True,True
GR-00137,PO-00143,SUP-007,2024-07-27,6,6,0,True,True
GR-00138,PO-00144,SUP-006,2025-01-29,49,49,0,True,True
GR-00139,PO-00146,SUP-035,2025-06-09,40,40,0,True,True
GR-00140,PO-00147,SUP-031,2024-05-06,103,103,0,True,True
GR-00141,PO-00148,SUP-018,2025-03-21,29,19,0,True,False
GR-00142,PO-00149,SUP-027,2024-04-09,28,23,0,False,False
GR-00143,PO-00150,SUP-019,2025-02-18,37,37,0,True,True
GR-00144,PO-00151,SUP-031,2026-02-11,100,100,0,True,True
GR-00145,PO-00152,SUP-035,2026-01-01,121,121,0,True,True
GR-00146,PO-00153,SUP-034,2026-03-04,23,23,0,True,True
GR-00147,PO-00154,SUP-007,2024-05-16,20,20,0,True,True
GR-00148,PO-00155,SUP-009,2024-06-09,1494,1494,0,True,True
GR-00149,PO-00156,SUP-009,2024-04-17,315,315,0,True,True
GR-00150,PO-00157,SUP-031,2024-07-26,174,174,0,True,True
GR-00151,PO-00158,SUP-006,2024-11-28,105,105,0,True,True
GR-00152,PO-00159,SUP-009,2024-10-19,461,461,0,True,True
GR-00153,PO-00160,SUP-031,2025-06-12,64,64,0,True,True
GR-00154,PO-00161,SUP-031,2024-07-18,110,110,0,True,True
GR-00155,PO-00162,SUP-009,2024-06-18,1445,1445,0,True,True
GR-00156,PO-00163,SUP-006,2024-07-19,152,152,0,True,True
GR-00157,PO-00164,SUP-016,2025-02-20,1049,682,0,False,False
GR-00158,PO-00165,SUP-001,2024-11-21,33,33,0,True,True
GR-00159,PO-00166,SUP-017,2024-10-25,15,15,0,True,True
GR-00160,PO-00167,SUP-021,2024-10-05,174,174,0,True,True
GR-00161,PO-00168,SUP-006,2024-02-05,89,89,0,True,True
GR-00162,PO-00170,SUP-028,2025-01-13,78,78,0,True,True
GR-00163,PO-00171,SUP-031,2025-04-14,79,79,0,True,True
GR-00164,PO-00172,SUP-031,2025-02-21,121,121,0,True,True
GR-00165,PO-00173,SUP-007,2024-09-04,11,11,0,True,True
GR-00166,PO-00174,SUP-039,2025-05-12,137,137,0,True,True
GR-00167,PO-00175,SUP-028,2024-07-07,40,40,0,True,True
GR-00168,PO-00176,SUP-026,2024-03-10,14,14,0,True,True
GR-00169,PO-00177,SUP-006,2025-03-06,11,11,0,True,True
GR-00170,PO-00178,SUP-035,2024-06-11,41,41,0,True,True
GR-00171,PO-00179,SUP-021,2025-10-16,107,107,0,True,True
GR-00172,PO-00180,SUP-001,2024-11-06,21,21,0,True,True
GR-00173,PO-00181,SUP-009,2024-07-07,815,815,0,True,True
GR-00174,PO-00182,SUP-039,2026-01-19,44,44,0,True,True
GR-00175,PO-00183,SUP-007,2025-08-01,25,25,0,True,True
GR-00176,PO-00184,SUP-026,2024-11-05,32,32,0,True,True
GR-00177,PO-00185,SUP-031,2024-09-01,125,125,0,False,True
GR-00178,PO-00186,SUP-006,2024-03-09,153,153,0,True,True
GR-00179,PO-00187,SUP-001,2025-02-05,43,43,0,True,True
GR-00180,PO-00188,SUP-031,2025-10-24,127,127,0,True,True
GR-00181,PO-00189,SUP-009,2024-06-12,690,690,0,True,True
GR-00182,PO-00190,SUP-026,2024-07-26,25,20,0,True,False
GR-00183,PO-00192,SUP-021,2024-09-18,131,131,0,True,True
GR-00184,PO-00193,SUP-031,2025-07-15,127,127,0,True,True
GR-00185,PO-00195,SUP-019,2024-09-15,20,20,0,True,True
GR-00186,PO-00196,SUP-031,2025-06-04,130,130,0,True,True
GR-00187,PO-00198,SUP-031,2025-07-18,152,152,0,True,True
GR-00188,PO-00199,SUP-002,2024-09-10,115,115,0,True,True
GR-00189,PO-00200,SUP-006,2026-02-13,68,68,0,True,True
GR-00190,PO-00201,SUP-043,2024-05-22,404,404,0,True,True
GR-00191,PO-00202,SUP-004,2025-01-02,621,621,0,True,True
GR-00192,PO-00203,SUP-019,2024-06-24,23,23,0,True,True
GR-00193,PO-00205,SUP-031,2024-07-17,82,82,0,True,True
GR-00194,PO-00206,SUP-001,2025-04-06,29,29,0,True,True
GR-00195,PO-00207,SUP-013,2024-02-03,891,891,0,True,True
GR-00196,PO-00208,SUP-006,2024-10-28,146,146,0,True,True
GR-00197,PO-00210,SUP-031,2024-01-13,135,135,0,True,True
GR-00198,PO-00212,SUP-021,2025-09-03,110,110,0,True,True
GR-00199,PO-00213,SUP-019,2024-07-03,39,39,0,True,True
GR-00200,PO-00214,SUP-031,2024-02-13,58,58,0,True,True
GR-00201,PO-00215,SUP-009,2025-08-26,1226,1226,0,True,True
GR-00202,PO-00216,SUP-048,2025-01-30,47,47,0,True,True
GR-00203,PO-00217,SUP-009,2025-10-14,1358,1358,0,True,True
GR-00204,PO-00218,SUP-009,2026-01-20,938,938,0,True,True
GR-00205,PO-00219,SUP-031,2025-11-08,115,115,0,True,True
GR-00206,PO-00220,SUP-031,2024-12-12,70,70,0,True,True
GR-00207,PO-00221,SUP-035,2024-12-23,48,48,0,True,True
GR-00208,PO-00222,SUP-031,2024-03-12,145,145,0,True,True
GR-00209,PO-00223,SUP-021,2024-07-03,34,34,0,True,True
GR-00210,PO-00224,SUP-009,2024-05-22,739,739,0,True,True
GR-00211,PO-00225,SUP-031,2024-08-01,79,79,0,True,True
GR-00212,PO-00227,SUP-041,2025-11-20,297,297,0,False,True
GR-00213,PO-00228,SUP-001,2025-01-17,33,33,0,True,True
GR-00214,PO-00230,SUP-017,2025-09-01,13,10,0,False,False
GR-00215,PO-00231,SUP-026,2024-02-05,28,28,0,True,True
GR-00216,PO-00232,SUP-021,2026-02-05,84,84,0,True,True
GR-00217,PO-00233,SUP-001,2024-01-09,19,19,0,True,True
GR-00218,PO-00236,SUP-049,2024-12-15,661,661,0,True,True
GR-00219,PO-00237,SUP-001,2024-02-01,22,22,0,True,True
GR-00220,PO-00238,SUP-001,2025-02-17,27,27,0,True,True
GR-00221,PO-00240,SUP-031,2026-01-16,189,189,0,True,True
GR-00222,PO-00241,SUP-031,2025-12-12,123,123,0,True,True
GR-00223,PO-00242,SUP-021,2024-03-26,91,91,0,True,True
GR-00224,PO-00243,SUP-031,2024-01-16,85,85,0,True,True
GR-00225,PO-00244,SUP-048,2025-05-31,46,46,0,True,True
GR-00226,PO-00245,SUP-031,2024-05-14,127,127,0,True,True
GR-00227,PO-00246,SUP-031,2024-06-17,117,117,0,True,True
GR-00228,PO-00247,SUP-031,2024-03-25,238,238,0,True,True
GR-00229,PO-00248,SUP-007,2025-02-07,39,39,0,True,True
GR-00230,PO-00249,SUP-031,2024-06-10,102,102,0,True,True
GR-00231,PO-00250,SUP-021,2026-02-01,96,96,0,True,True
GR-00232,PO-00251,SUP-031,2024-04-01,96,96,0,True,True
GR-00233,PO-00252,SUP-009,2024-06-21,1264,1264,0,True,True
GR-00234,PO-00253,SUP-043,2025-04-09,1775,1775,0,True,True
GR-00235,PO-00254,SUP-009,2024-02-25,655,655,0,True,True
GR-00236,PO-00255,SUP-048,2026-02-14,40,40,0,True,True
GR-00237,PO-00256,SUP-015,2025-11-08,13,13,0,True,True
GR-00238,PO-00257,SUP-015,2025-06-12,33,33,0,True,True
GR-00239,PO-00258,SUP-009,2024-12-01,1887,1887,0,True,True
GR-00240,PO-00259,SUP-019,2024-04-22,10,10,0,True,True
GR-00241,PO-00260,SUP-031,2024-06-11,137,137,0,True,True
GR-00242,PO-00261,SUP-049,2024-02-29,1603,1371,34,True,False
GR-00243,PO-00262,SUP-006,2024-02-11,53,48,0,True,False
GR-00244,PO-00263,SUP-031,2025-11-20,100,100,0,True,True
GR-00245,PO-00264,SUP-031,2025-06-01,117,117,0,True,True
GR-00246,PO-00265,SUP-009,2024-02-27,1510,1510,0,True,True
GR-00247,PO-00266,SUP-006,2024-03-20,91,91,0,True,True
GR-00248,PO-00267,SUP-050,2025-06-07,33,33,0,True,True
GR-00249,PO-00268,SUP-031,2024-12-07,102,102,0,True,True
GR-00250,PO-00269,SUP-018,2025-07-31,15,11,0,True,False
GR-00251,PO-00270,SUP-050,2025-02-08,65,65,0,True,True
GR-00252,PO-00271,SUP-031,2024-11-20,92,92,0,False,True
GR-00253,PO-00272,SUP-020,2024-12-27,170,170,0,True,True
GR-00254,PO-00273,SUP-006,2024-05-11,59,59,0,True,True
GR-00255,PO-00274,SUP-035,2024-04-09,99,99,0,True,True
GR-00256,PO-00275,SUP-007,2024-10-04,9,9,0,True,True
GR-00257,PO-00276,SUP-031,2024-07-22,119,111,0,True,False
GR-00258,PO-00277,SUP-049,2024-02-07,1852,1713,0,True,False
GR-00259,PO-00278,SUP-006,2025-04-03,74,74,1,True,True
GR-00260,PO-00279,SUP-009,2024-08-06,353,353,0,True,True
GR-00261,PO-00280,SUP-031,2025-11-23,51,51,0,True,True
GR-00262,PO-00281,SUP-006,2024-12-13,114,114,0,True,True
GR-00263,PO-00282,SUP-019,2026-01-28,13,13,0,True,True
GR-00264,PO-00283,SUP-014,2025-06-25,12,12,0,True,True
GR-00265,PO-00285,SUP-031,2024-03-07,95,95,0,True,True
GR-00266,PO-00286,SUP-031,2025-09-11,58,58,0,True,True
GR-00267,PO-00287,SUP-039,2026-01-11,27,27,0,True,True
GR-00268,PO-00288,SUP-031,2024-05-14,68,68,0,True,True
GR-00269,PO-00289,SUP-006,2025-09-27,53,40,0,True,False
GR-00270,PO-00290,SUP-018,2025-10-10,21,21,0,True,True
GR-00271,PO-00291,SUP-031,2025-04-24,36,36,0,True,True
GR-00272,PO-00293,SUP-028,2026-01-16,170,170,0,True,True
GR-00273,PO-00294,SUP-039,2025-03-20,89,89,0,True,True
GR-00274,PO-00295,SUP-031,2024-04-09,90,60,0,True,False
GR-00275,PO-00296,SUP-006,2025-08-23,103,103,0,True,True
GR-00276,PO-00297,SUP-006,2025-05-15,104,104,0,True,True
GR-00277,PO-00298,SUP-031,2024-03-20,99,99,0,True,True
GR-00278,PO-00299,SUP-021,2024-10-12,77,77,0,True,True
GR-00279,PO-00300,SUP-006,2024-07-03,35,35,0,True,True
GR-00280,PO-00302,SUP-032,2025-09-23,43,43,0,True,True
GR-00281,PO-00303,SUP-031,2024-12-17,83,83,0,True,True
GR-00282,PO-00304,SUP-009,2025-02-11,814,814,0,True,True
GR-00283,PO-00305,SUP-040,2025-08-03,737,737,0,True,True
GR-00284,PO-00306,SUP-019,2025-11-22,21,21,0,True,True
GR-00285,PO-00308,SUP-044,2025-03-04,92,92,0,False,True
GR-00286,PO-00309,SUP-021,2024-01-22,116,116,0,True,True
GR-00287,PO-00310,SUP-006,2025-03-17,121,121,0,True,True
GR-00288,PO-00311,SUP-034,2024-04-23,38,38,0,True,True
GR-00289,PO-00312,SUP-021,2025-02-27,169,169,0,True,True
GR-00290,PO-00313,SUP-009,2024-12-30,678,678,0,True,True
GR-00291,PO-00314,SUP-031,2026-02-11,96,96,0,True,True
GR-00292,PO-00315,SUP-018,2026-03-01,26,26,0,True,True
GR-00293,PO-00317,SUP-031,2024-06-06,107,107,0,True,True
GR-00294,PO-00318,SUP-006,2026-01-30,57,57,0,True,True
GR-00295,PO-00319,SUP-009,2026-01-14,1881,1881,0,True,True
GR-00296,PO-00320,SUP-031,2024-11-23,31,31,0,True,True
GR-00297,PO-00321,SUP-007,2024-09-18,31,31,0,True,True
GR-00298,PO-00322,SUP-009,2025-03-10,1026,1026,0,True,True
GR-00299,PO-00323,SUP-031,2024-09-13,167,149,0,True,False
GR-00300,PO-00324,SUP-009,2026-01-19,941,941,0,True,True
GR-00301,PO-00325,SUP-008,2025-08-06,29,19,0,True,False
GR-00302,PO-00326,SUP-006,2024-12-25,107,107,0,True,True
GR-00303,PO-00327,SUP-031,2025-03-29,78,78,0,True,True
GR-00304,PO-00328,SUP-006,2024-02-12,95,95,0,True,True
GR-00305,PO-00329,SUP-031,2024-04-26,131,131,0,True,True
GR-00306,PO-00331,SUP-006,2025-10-01,138,138,0,True,True
GR-00307,PO-00332,SUP-031,2025-03-14,102,102,0,True,True
GR-00308,PO-00333,SUP-037,2024-04-29,1223,1223,0,True,True
GR-00309,PO-00334,SUP-008,2024-09-01,26,26,0,False,True
GR-00310,PO-00335,SUP-006,2025-03-28,32,32,0,True,True
GR-00311,PO-00336,SUP-035,2025-04-11,168,168,0,True,True
GR-00312,PO-00337,SUP-009,2025-03-25,509,509,0,True,True
GR-00313,PO-00338,SUP-031,2026-02-05,117,117,0,False,True
GR-00314,PO-00340,SUP-031,2025-10-09,65,65,0,True,True
GR-00315,PO-00343,SUP-009,2024-04-25,1173,1173,0,True,True
GR-00316,PO-00344,SUP-001,2026-01-24,42,42,0,True,True
GR-00317,PO-00345,SUP-017,2025-07-09,28,28,0,True,True
GR-00318,PO-00346,SUP-019,2025-12-23,29,29,0,True,True
GR-00319,PO-00347,SUP-006,2025-06-03,90,90,0,True,True
GR-00320,PO-00349,SUP-006,2025-05-27,28,28,0,True,True
GR-00321,PO-00350,SUP-042,2024-11-10,65,65,0,True,True
GR-00322,PO-00351,SUP-031,2024-05-13,92,92,0,True,True
GR-00323,PO-00352,SUP-033,2024-04-04,1627,1627,0,True,True
GR-00324,PO-00353,SUP-031,2025-11-19,188,188,0,True,True
GR-00325,PO-00354,SUP-031,2025-11-18,152,152,0,True,True
GR-00326,PO-00355,SUP-031,2025-09-04,111,111,0,True,True
GR-00327,PO-00356,SUP-006,2024-12-07,121,121,0,True,True
GR-00328,PO-00357,SUP-050,2024-09-06,36,36,0,True,True
GR-00329,PO-00358,SUP-037,2024-01-24,1563,1563,0,True,True
GR-00330,PO-00359,SUP-043,2024-03-25,554,554,0,True,True
GR-00331,PO-00360,SUP-031,2024-12-06,73,73,0,True,True
GR-00332,PO-00361,SUP-009,2025-12-07,1040,1040,0,True,True
GR-00333,PO-00362,SUP-028,2024-12-20,66,66,0,True,True
GR-00334,PO-00363,SUP-031,2024-03-30,89,89,0,True,True
GR-00335,PO-00364,SUP-018,2025-02-21,22,22,0,True,True
GR-00336,PO-00365,SUP-001,2024-05-11,49,49,0,True,True
GR-00337,PO-00366,SUP-009,2025-02-05,330,330,0,True,True
GR-00338,PO-00367,SUP-031,2024-04-21,163,163,0,True,True
GR-00339,PO-00368,SUP-021,2025-11-04,76,76,0,True,True
GR-00340,PO-00369,SUP-009,2025-03-14,1581,1581,0,True,True
GR-00341,PO-00370,SUP-040,2025-06-23,1074,1074,0,True,True
GR-00342,PO-00371,SUP-031,2025-08-04,77,77,0,True,True
GR-00343,PO-00372,SUP-031,2024-08-09,92,92,0,True,True
GR-00344,PO-00373,SUP-026,2026-02-18,31,31,0,True,True
GR-00345,PO-00374,SUP-029,2025-04-25,13,8,0,True,False
GR-00346,PO-00375,SUP-009,2025-11-16,1494,1494,0,True,True
GR-00347,PO-00376,SUP-031,2024-05-23,77,77,0,True,True
GR-00348,PO-00377,SUP-031,2025-06-22,62,58,0,False,False
GR-00349,PO-00378,SUP-029,2025-07-18,24,24,0,True,True
GR-00350,PO-00379,SUP-031,2025-11-21,59,59,0,True,True
GR-00351,PO-00380,SUP-031,2024-11-03,125,81,0,False,False
GR-00352,PO-00381,SUP-001,2025-10-11,14,14,0,True,True
GR-00353,PO-00382,SUP-021,2025-10-23,232,232,0,True,True
GR-00354,PO-00385,SUP-037,2024-12-12,734,591,0,False,False
GR-00355,PO-00386,SUP-031,2024-09-26,105,105,0,False,True
GR-00356,PO-00387,SUP-007,2025-03-12,19,14,0,False,False
GR-00357,PO-00388,SUP-001,2024-04-10,49,49,0,True,True
GR-00358,PO-00389,SUP-031,2025-06-02,99,99,0,True,True
GR-00359,PO-00390,SUP-007,2025-07-28,17,17,0,True,True
GR-00360,PO-00391,SUP-021,2025-05-13,58,42,0,False,False
GR-00361,PO-00392,SUP-006,2025-10-15,132,132,0,True,True
GR-00362,PO-00393,SUP-031,2025-05-27,135,135,0,True,True
GR-00363,PO-00394,SUP-031,2025-11-30,37,37,0,True,True
GR-00364,PO-00395,SUP-026,2025-11-14,9,9,0,True,True
GR-00365,PO-00396,SUP-006,2025-09-10,44,44,0,True,True
GR-00366,PO-00397,SUP-029,2024-07-04,24,24,0,True,True
GR-00367,PO-00398,SUP-035,2025-03-04,118,118,0,False,True
GR-00368,PO-00399,SUP-031,2024-10-17,123,123,0,True,True
GR-00369,PO-00400,SUP-001,2024-06-30,34,27,0,False,False
GR-00370,PO-00401,SUP-036,2024-04-08,2,1,0,True,False
GR-00371,PO-00402,SUP-007,2024-12-05,15,15,0,True,True
GR-00372,PO-00403,SUP-006,2024-02-09,124,124,0,True,True
GR-00373,PO-00404,SUP-001,2024-11-09,19,19,0,True,True
GR-00374,PO-00405,SUP-031,2025-06-02,151,151,0,True,True
GR-00375,PO-00408,SUP-031,2025-12-12,52,33,0,True,False
GR-00376,PO-00409,SUP-009,2024-03-22,2075,2075,0,True,True
GR-00377,PO-00410,SUP-019,2026-02-11,14,14,0,True,True
GR-00378,PO-00411,SUP-006,2024-12-21,122,122,0,True,True
GR-00379,PO-00412,SUP-031,2024-02-07,112,112,0,True,True
GR-00380,PO-00413,SUP-009,2025-05-31,666,666,0,True,True
GR-00381,PO-00414,SUP-021,2025-02-12,129,129,0,True,True
GR-00382,PO-00415,SUP-035,2024-09-09,170,170,0,True,True
GR-00383,PO-00416,SUP-009,2024-07-03,909,909,0,True,True
GR-00384,PO-00417,SUP-007,2024-03-11,16,16,0,True,True
GR-00385,PO-00418,SUP-006,2025-07-01,96,96,0,True,True
GR-00386,PO-00419,SUP-031,2024-02-05,107,107,0,True,True
GR-00387,PO-00420,SUP-022,2025-05-01,36,36,0,True,True
GR-00388,PO-00421,SUP-009,2025-06-01,1657,1657,0,True,True
GR-00389,PO-00422,SUP-019,2024-07-23,10,10,1,True,True
GR-00390,PO-00423,SUP-050,2024-11-15,16,16,0,True,True
GR-00391,PO-00424,SUP-035,2025-08-25,47,47,0,True,True
GR-00392,PO-00425,SUP-004,2024-07-16,1129,1129,0,True,True
GR-00393,PO-00426,SUP-007,2024-05-04,41,41,0,True,True
GR-00394,PO-00427,SUP-024,2026-01-24,52,52,2,False,True
GR-00395,PO-00428,SUP-037,2024-04-10,887,887,0,True,True
GR-00396,PO-00429,SUP-034,2025-11-24,64,64,0,True,True
GR-00397,PO-00430,SUP-031,2024-10-24,113,113,0,True,True
GR-00398,PO-00431,SUP-006,2025-05-21,78,78,0,True,True
GR-00399,PO-00432,SUP-042,2025-11-11,115,115,0,True,True
GR-00400,PO-00434,SUP-001,2024-05-26,52,52,0,True,True
GR-00401,PO-00435,SUP-035,2025-02-08,175,175,0,False,True
GR-00402,PO-00436,SUP-006,2024-02-20,180,180,0,True,True
GR-00403,PO-00437,SUP-007,2024-05-26,32,32,0,True,True
GR-00404,PO-00438,SUP-019,2024-06-29,36,36,0,True,True
GR-00405,PO-00439,SUP-006,2024-04-08,79,79,0,True,True
GR-00406,PO-00440,SUP-031,2025-03-11,108,108,0,True,True
GR-00407,PO-00441,SUP-031,2025-12-23,88,88,0,True,True
