po_id,supplier_id,business_unit,category,po_date,expected_delivery_date,total_value,payment_terms,status
PO-00064,SUP-031,manufacturing,mro,2025-06-20,2025-06-30,58955.32,net_60,closed
PO-00065,SUP-021,manufacturing,mro,2025-06-16,2025-06-27,56686.84,net_30,closed
PO-00066,SUP-031,it,mro,2024-05-07,2024-05-21,67666.57,net_90,closed
PO-00067,SUP-031,facilities,mro,2026-01-08,2026-01-19,87378.65,net_30,closed
PO-00068,SUP-031,manufacturing,mro,2024-11-28,2024-12-07,97630.36,net_30,closed
PO-00069,SUP-021,it,mro,2024-08-17,2024-08-27,177637.45,net_60,closed
PO-00070,SUP-021,it,mro,2024-03-12,2024-03-25,80828.11,net_30,closed
PO-00071,SUP-048,logistics,indirect,2024-08-06,2024-08-20,72142.37,net_60,closed
PO-00072,SUP-001,facilities,indirect,2024-10-29,2024-11-05,67541.76,net_90,closed
PO-00073,SUP-009,it,direct_materials,2025-10-24,2025-11-07,4060858.02,net_90,closed
PO-00074,SUP-035,facilities,mro,2024-04-15,2024-04-27,78103.59,net_60,closed
PO-00075,SUP-031,it,mro,2025-02-16,2025-03-02,81834.79,net_30,closed
PO-00076,SUP-001,it,indirect,2024-08-08,2024-08-17,24938.79,net_30,closed
PO-00077,SUP-031,logistics,mro,2024-10-16,2024-10-28,110887.14,net_60,closed
PO-00078,SUP-006,corporate,mro,2024-08-27,2024-09-06,203103.72,net_30,closed
PO-00079,SUP-031,manufacturing,mro,2025-04-06,2025-04-16,25241.84,net_60,closed
PO-00080,SUP-009,manufacturing,direct_materials,2024-12-19,2025-01-01,869307.99,net_30,closed
PO-00081,SUP-009,it,direct_materials,2025-07-20,2025-08-01,1455075.73,net_90,closed
PO-00082,SUP-019,facilities,services,2025-12-19,2026-01-07,10380.75,net_90,closed
PO-00083,SUP-035,it,mro,2025-11-25,2025-12-16,0.0,net_30,cancelled
PO-00084,SUP-018,manufacturing,services,2026-01-23,2026-02-21,11547.56,net_30,closed
PO-00085,SUP-005,it,services,2026-01-11,2026-02-06,15738.07,net_60,closed
PO-00086,SUP-019,manufacturing,services,2025-11-02,2025-11-16,16656.93,net_30,closed
PO-00087,SUP-006,manufacturing,mro,2025-06-23,2025-07-06,52840.45,net_60,closed
PO-00088,SUP-031,logistics,mro,2024-02-07,2024-02-18,64305.48,net_30,closed
PO-00089,SUP-001,manufacturing,indirect,2024-05-20,2024-06-01,45991.78,net_60,closed
PO-00090,SUP-014,corporate,indirect,2024-04-05,2024-04-29,40658.28,net_30,closed
PO-00091,SUP-009,manufacturing,direct_materials,2024-03-04,2024-03-17,1785735.76,net_90,closed
PO-00092,SUP-031,corporate,mro,2024-03-08,2024-03-22,21535.31,net_60,closed
PO-00093,SUP-031,facilities,mro,2026-02-05,2026-02-13,87515.82,net_60,closed
PO-00094,SUP-031,facilities,mro,2025-09-16,2025-09-25,73014.44,net_60,closed
PO-00095,SUP-021,corporate,mro,2024-02-22,2024-03-06,0.0,net_30,cancelled
PO-00096,SUP-014,manufacturing,indirect,2025-05-05,2025-06-01,35553.74,net_60,closed
PO-00097,SUP-039,logistics,mro,2025-10-02,2025-10-16,7060.64,net_30,closed
PO-00098,SUP-008,logistics,services,2024-11-28,2024-12-18,7523.28,net_60,closed
PO-00099,SUP-037,manufacturing,direct_materials,2025-12-16,2026-01-11,1004229.9,net_60,closed
PO-00100,SUP-031,manufacturing,mro,2025-11-15,2025-11-25,117614.92,net_90,closed
PO-00101,SUP-007,corporate,services,2024-01-11,2024-01-25,37760.52,net_60,closed
PO-00102,SUP-006,manufacturing,mro,2024-07-26,2024-08-03,57875.23,net_60,closed
PO-00103,SUP-006,it,mro,2025-11-06,2025-11-20,114367.0,net_30,closed
PO-00104,SUP-031,it,mro,2025-09-08,2025-09-19,47536.94,net_30,closed
PO-00105,SUP-031,manufacturing,mro,2024-01-05,2024-01-15,86560.2,net_30,closed
PO-00106,SUP-031,manufacturing,mro,2024-12-03,2024-12-10,182561.63,net_30,closed
PO-00107,SUP-007,it,services,2024-09-06,2024-09-25,18243.07,net_60,closed
PO-00108,SUP-009,logistics,direct_materials,2025-11-14,2025-11-23,4229777.46,net_30,closed
PO-00109,SUP-009,it,direct_materials,2025-09-04,2025-09-18,4088668.4,net_30,closed
PO-00110,SUP-031,manufacturing,mro,2025-02-28,2025-03-13,70950.78,net_30,closed
PO-00111,SUP-021,logistics,mro,2025-11-07,2025-11-15,12695.24,net_90,closed
PO-00112,SUP-021,manufacturing,mro,2024-06-09,2024-06-16,8691.24,net_30,closed
PO-00113,SUP-006,facilities,mro,2025-12-03,2025-12-10,63494.77,net_60,closed
PO-00114,SUP-029,manufacturing,services,2024-09-19,2024-10-02,5110.96,net_30,closed
PO-00115,SUP-004,manufacturing,direct_materials,2024-11-05,2024-11-30,1245898.1,net_30,closed
PO-00116,SUP-039,corporate,mro,2024-06-22,2024-07-04,7780.1,net_30,closed
PO-00117,SUP-031,facilities,mro,2024-09-03,2024-09-13,72059.12,net_30,closed
PO-00118,SUP-022,manufacturing,mro,2024-08-20,2024-09-25,16068.97,net_60,closed
PO-00119,SUP-031,manufacturing,mro,2024-10-17,2024-10-24,164080.51,net_30,closed
PO-00120,SUP-047,manufacturing,direct_materials,2024-12-30,2025-02-05,909183.3,net_30,closed
PO-00121,SUP-006,manufacturing,mro,2024-07-25,2024-08-01,97784.58,net_90,closed
PO-00122,SUP-031,corporate,mro,2026-01-13,2026-01-23,161844.73,net_60,closed
PO-00123,SUP-006,manufacturing,mro,2026-03-14,2026-03-27,102765.4,net_60,open
PO-00124,SUP-031,manufacturing,mro,2026-01-03,2026-01-17,76831.84,net_60,closed
PO-00125,SUP-009,manufacturing,direct_materials,2025-03-20,2025-03-30,5239452.3,net_60,closed
PO-00126,SUP-031,corporate,mro,2025-06-20,2025-07-04,155529.77,net_60,closed
PO-00127,SUP-031,manufacturing,mro,2024-03-22,2024-04-01,96630.15,net_30,closed
PO-00128,SUP-006,facilities,mro,2024-03-13,2024-03-23,116878.52,net_30,closed
PO-00129,SUP-006,manufacturing,mro,2024-03-19,2024-04-01,0.0,net_90,cancelled
PO-00130,SUP-011,manufacturing,indirect,2024-07-21,2024-08-15,93883.59,net_30,closed
PO-00131,SUP-021,it,mro,2024-05-09,2024-05-17,145323.97,net_90,closed
PO-00132,SUP-001,facilities,indirect,2025-05-15,2025-05-27,94600.24,net_90,closed
PO-00133,SUP-029,manufacturing,services,2025-01-02,2025-01-19,3874.54,net_60,closed
PO-00134,SUP-009,facilities,direct_materials,2025-05-09,2025-05-21,3651053.07,net_90,closed
PO-00135,SUP-007,manufacturing,services,2025-02-02,2025-02-17,17135.69,net_30,closed
PO-00136,SUP-010,manufacturing,indirect,2025-06-17,2025-07-13,84090.01,net_30,closed
PO-00137,SUP-006,manufacturing,mro,2025-08-24,2025-09-04,56085.78,net_30,closed
PO-00138,SUP-007,facilities,services,2024-07-30,2024-08-15,15555.63,net_30,closed
PO-00139,SUP-031,corporate,mro,2024-11-22,2024-12-02,74683.12,net_30,closed
PO-00140,SUP-021,manufacturing,mro,2024-08-24,2024-09-06,70110.53,net_90,closed
PO-00141,SUP-006,facilities,mro,2025-10-04,2025-10-11,200925.21,net_30,closed
PO-00142,SUP-027,manufacturing,services,2024-02-15,2024-03-16,17957.45,net_60,closed
PO-00143,SUP-007,it,services,2024-07-14,2024-07-27,3993.25,net_60,closed
PO-00144,SUP-006,manufacturing,mro,2025-01-15,2025-01-29,30087.42,net_90,closed
PO-00145,SUP-031,facilities,mro,2026-03-02,2026-03-16,59714.41,net_30,open
PO-00146,SUP-035,corporate,mro,2025-05-27,2025-06-10,30352.54,net_30,closed
PO-00147,SUP-031,facilities,mro,2024-04-23,2024-05-06,75711.45,net_30,closed
PO-00148,SUP-018,manufacturing,services,2025-03-04,2025-03-21,17173.86,net_60,closed
PO-00149,SUP-027,facilities,services,2024-03-03,2024-03-28,17847.76,net_30,closed
PO-00150,SUP-019,it,services,2025-02-02,2025-02-18,27104.28,net_60,closed
PO-00151,SUP-031,manufacturing,mro,2026-01-31,2026-02-11,121798.7,net_60,closed
PO-00152,SUP-035,logistics,mro,2025-12-13,2026-01-02,133654.88,net_30,closed
PO-00153,SUP-034,logistics,indirect,2026-01-31,2026-03-04,9996.28,net_90,closed
PO-00154,SUP-007,facilities,services,2024-04-28,2024-05-17,18209.51,net_30,closed
PO-00155,SUP-009,logistics,direct_materials,2024-06-02,2024-06-10,2060501.46,net_30,closed
PO-00156,SUP-009,manufacturing,direct_materials,2024-04-05,2024-04-19,901989.5,net_30,closed
PO-00157,SUP-031,facilities,mro,2024-07-17,2024-07-26,152756.78,net_30,closed
PO-00158,SUP-006,facilities,mro,2024-11-19,2024-11-29,86785.12,net_90,closed
PO-00159,SUP-009,manufacturing,direct_materials,2024-10-14,2024-10-21,145645.05,net_30,closed
PO-00160,SUP-031,facilities,mro,2025-06-04,2025-06-13,33234.9,net_30,closed
PO-00161,SUP-031,facilities,mro,2024-07-04,2024-07-18,186086.87,net_60,closed
PO-00162,SUP-009,logistics,direct_materials,2024-06-12,2024-06-20,4203083.06,net_30,closed
PO-00163,SUP-006,facilities,mro,2024-07-08,2024-07-20,105510.17,net_90,closed
PO-00164,SUP-016,facilities,direct_materials,2025-02-02,2025-02-18,2091199.4,net_60,closed
PO-00165,SUP-001,corporate,indirect,2024-11-12,2024-11-22,42919.69,net_30,closed
PO-00166,SUP-017,corporate,services,2024-09-13,2024-10-25,4031.68,net_30,closed
PO-00167,SUP-021,manufacturing,mro,2024-09-26,2024-10-07,194930.15,net_30,closed
PO-00168,SUP-006,it,mro,2024-01-26,2024-02-06,166592.76,net_90,closed
PO-00169,SUP-031,logistics,mro,2026-02-12,2026-02-25,30960.59,net_30,open
PO-00170,SUP-028,logistics,mro,2024-12-20,2025-01-13,29354.02,net_30,closed
PO-00171,SUP-031,facilities,mro,2025-04-06,2025-04-15,81087.19,net_30,closed
PO-00172,SUP-031,corporate,mro,2025-02-14,2025-02-21,163337.05,net_30,closed
PO-00173,SUP-007,manufacturing,services,2024-08-24,2024-09-06,11201.35,net_30,closed
PO-00174,SUP-039,facilities,mro,2025-04-25,2025-05-12,120469.78,net_30,closed
PO-00175,SUP-028,manufacturing,mro,2024-06-12,2024-07-08,24526.39,net_90,closed
PO-00176,SUP-026,it,services,2024-02-29,2024-03-11,10359.96,net_30,closed
PO-00177,SUP-006,corporate,mro,2025-02-21,2025-03-07,10435.8,net_30,closed
PO-00178,SUP-035,facilities,mro,2024-05-22,2024-06-11,39455.62,net_60,closed
PO-00179,SUP-021,manufacturing,mro,2025-10-09,2025-10-16,79663.0,net_30,closed
PO-00180,SUP-001,it,indirect,2024-10-31,2024-11-08,15935.84,net_90,closed
PO-00181,SUP-009,it,direct_materials,2024-06-26,2024-07-08,2772946.69,net_60,closed
PO-00182,SUP-039,it,mro,2026-01-03,2026-01-19,45772.14,net_90,closed
PO-00183,SUP-007,facilities,services,2025-07-21,2025-08-01,13242.6,net_60,closed
PO-00184,SUP-026,facilities,services,2024-10-21,2024-11-06,34856.28,net_30,closed
PO-00185,SUP-031,logistics,mro,2024-08-09,2024-08-18,190395.03,net_90,closed
PO-00186,SUP-006,corporate,mro,2024-02-29,2024-03-10,136692.78,net_90,closed
PO-00187,SUP-001,manufacturing,indirect,2025-01-24,2025-02-06,67815.49,net_60,closed
PO-00188,SUP-031,logistics,mro,2025-10-18,2025-10-25,98056.85,net_30,closed
PO-00189,SUP-009,manufacturing,direct_materials,2024-06-05,2024-06-13,2482298.36,net_30,closed
PO-00190,SUP-026,facilities,services,2024-07-07,2024-07-28,22579.11,net_30,closed
PO-00191,SUP-031,manufacturing,mro,2024-02-16,2024-02-27,0.0,net_30,cancelled
PO-00192,SUP-021,it,mro,2024-09-07,2024-09-20,159779.45,net_30,closed
PO-00193,SUP-031,manufacturing,mro,2025-07-05,2025-07-17,102172.3,net_30,closed
PO-00194,SUP-044,facilities,mro,2026-02-23,2026-03-25,41511.89,net_90,open
PO-00195,SUP-019,facilities,services,2024-09-02,2024-09-15,19519.3,net_30,closed
PO-00196,SUP-031,logistics,mro,2025-05-29,2025-06-05,68418.43,net_90,closed
PO-00197,SUP-046,manufacturing,direct_materials,2026-03-19,2026-04-16,648042.13,net_30,open
PO-00198,SUP-031,manufacturing,mro,2025-07-11,2025-07-20,166898.84,net_90,closed
PO-00199,SUP-002,manufacturing,mro,2024-08-14,2024-09-10,64499.65,net_90,closed
PO-00200,SUP-006,manufacturing,mro,2026-02-06,2026-02-15,82527.92,net_30,closed
PO-00201,SUP-043,manufacturing,direct_materials,2024-05-03,2024-05-22,1473961.41,net_30,closed
PO-00202,SUP-004,facilities,direct_materials,2024-12-14,2025-01-03,1469948.16,net_90,closed
PO-00203,SUP-019,logistics,services,2024-06-08,2024-06-24,19954.65,net_60,closed
PO-00204,SUP-019,manufacturing,services,2026-03-13,2026-03-27,19511.31,net_60,open
PO-00205,SUP-031,manufacturing,mro,2024-07-08,2024-07-17,73935.42,net_30,closed
PO-00206,SUP-001,manufacturing,indirect,2025-03-30,2025-04-08,32237.47,net_90,closed
PO-00207,SUP-013,it,direct_materials,2024-01-12,2024-02-04,494779.93,net_30,closed
PO-00208,SUP-006,facilities,mro,2024-10-19,2024-10-30,125248.12,net_30,closed
PO-00209,SUP-021,manufacturing,mro,2026-03-05,2026-03-12,69361.47,net_60,open
PO-00210,SUP-031,facilities,mro,2024-01-04,2024-01-13,130716.02,net_30,closed
PO-00211,SUP-006,manufacturing,mro,2026-02-17,2026-03-03,74994.56,net_60,open
PO-00212,SUP-021,manufacturing,mro,2025-08-24,2025-09-05,136721.32,net_30,closed
PO-00213,SUP-019,manufacturing,services,2024-06-23,2024-07-04,29928.71,net_30,closed
PO-00214,SUP-031,manufacturing,mro,2024-02-06,2024-02-13,103567.35,net_60,closed
PO-00215,SUP-009,manufacturing,direct_materials,2025-08-13,2025-08-27,4710743.63,net_30,closed
PO-00216,SUP-048,manufacturing,indirect,2025-01-11,2025-01-30,66977.65,net_30,closed
PO-00217,SUP-009,manufacturing,direct_materials,2025-10-09,2025-10-16,3040211.31,net_30,closed
PO-00218,SUP-009,it,direct_materials,2026-01-13,2026-01-21,2926274.48,net_30,closed
PO-00219,SUP-031,manufacturing,mro,2025-11-02,2025-11-10,86789.1,net_60,closed
PO-00220,SUP-031,it,mro,2024-12-07,2024-12-14,65298.49,net_90,closed
PO-00221,SUP-035,logistics,mro,2024-12-14,2024-12-24,12465.4,net_60,closed
PO-00222,SUP-031,manufacturing,mro,2024-02-28,2024-03-12,163275.03,net_30,closed
PO-00223,SUP-021,manufacturing,mro,2024-06-28,2024-07-05,27390.93,net_60,closed
PO-00224,SUP-009,logistics,direct_materials,2024-05-12,2024-05-22,1125720.12,net_60,closed
PO-00225,SUP-031,manufacturing,mro,2024-07-26,2024-08-03,55041.55,net_60,closed
PO-00226,SUP-031,corporate,mro,2026-03-06,2026-03-13,130459.67,net_90,open
PO-00227,SUP-041,manufacturing,direct_materials,2025-11-04,2025-11-19,446132.23,net_60,closed
PO-00228,SUP-001,manufacturing,indirect,2025-01-06,2025-01-18,54934.68,net_60,closed
PO-00229,SUP-029,manufacturing,services,2026-02-24,2026-03-16,5599.72,net_60,open
PO-00230,SUP-017,it,services,2025-08-05,2025-08-28,4665.68,net_60,closed
PO-00231,SUP-026,facilities,services,2024-01-23,2024-02-07,15667.8,net_60,closed
PO-00232,SUP-021,facilities,mro,2026-01-28,2026-02-07,130696.31,net_60,closed
PO-00233,SUP-001,logistics,indirect,2024-01-01,2024-01-10,24478.37,net_30,closed
PO-00234,SUP-006,manufacturing,mro,2026-03-03,2026-03-13,176553.56,net_60,open
PO-00235,SUP-007,facilities,services,2026-03-18,2026-04-06,9326.76,net_30,open
PO-00236,SUP-049,facilities,direct_materials,2024-11-24,2024-12-16,431836.12,net_30,closed
PO-00237,SUP-001,logistics,indirect,2024-01-24,2024-02-02,26013.86,net_60,closed
PO-00238,SUP-001,facilities,indirect,2025-02-12,2025-02-19,35270.54,net_60,closed
PO-00239,SUP-031,corporate,mro,2026-02-19,2026-03-02,94851.94,net_30,open
PO-00240,SUP-031,manufacturing,mro,2026-01-02,2026-01-16,257329.14,net_30,closed
PO-00241,SUP-031,manufacturing,mro,2025-11-29,2025-12-13,124544.34,net_30,closed
PO-00242,SUP-021,corporate,mro,2024-03-14,2024-03-28,95425.18,net_60,closed
PO-00243,SUP-031,it,mro,2024-01-07,2024-01-17,102786.25,net_60,closed
PO-00244,SUP-048,manufacturing,indirect,2025-05-21,2025-06-02,38174.93,net_30,closed
PO-00245,SUP-031,manufacturing,mro,2024-05-04,2024-05-14,67899.76,net_30,closed
PO-00246,SUP-031,manufacturing,mro,2024-06-09,2024-06-17,141409.13,net_60,closed
PO-00247,SUP-031,corporate,mro,2024-03-15,2024-03-27,329741.93,net_30,closed
PO-00248,SUP-007,it,services,2025-01-25,2025-02-07,44839.14,net_90,closed
PO-00249,SUP-031,manufacturing,mro,2024-06-03,2024-06-12,145495.22,net_60,closed
PO-00250,SUP-021,facilities,mro,2026-01-21,2026-02-01,89598.25,net_60,closed
PO-00251,SUP-031,it,mro,2024-03-24,2024-04-02,113529.64,net_60,closed
PO-00252,SUP-009,facilities,direct_materials,2024-06-15,2024-06-23,4179540.45,net_60,closed
PO-00253,SUP-043,manufacturing,direct_materials,2025-03-22,2025-04-11,2836831.48,net_60,closed
PO-00254,SUP-009,it,direct_materials,2024-02-12,2024-02-26,1930166.95,net_30,closed
PO-00255,SUP-048,logistics,indirect,2026-01-28,2026-02-16,63338.38,net_30,closed
PO-00256,SUP-015,it,services,2025-10-26,2025-11-09,8531.32,net_30,closed
PO-00257,SUP-015,manufacturing,services,2025-05-20,2025-06-12,21726.58,net_60,closed
PO-00258,SUP-009,manufacturing,direct_materials,2024-11-19,2024-12-01,4835672.02,net_30,closed
PO-00259,SUP-019,manufacturing,services,2024-04-09,2024-04-22,4533.09,net_90,closed
PO-00260,SUP-031,facilities,mro,2024-05-31,2024-06-12,96034.53,net_30,closed
PO-00261,SUP-049,logistics,direct_materials,2024-02-09,2024-03-01,731314.66,net_30,closed
PO-00262,SUP-006,facilities,mro,2024-01-30,2024-02-13,14626.77,net_90,closed
PO-00263,SUP-031,manufacturing,mro,2025-11-10,2025-11-22,103137.95,net_30,closed
PO-00264,SUP-031,manufacturing,mro,2025-05-24,2025-06-03,71440.29,net_30,closed
PO-00265,SUP-009,manufacturing,direct_materials,2024-02-19,2024-02-29,4009563.88,net_30,closed
PO-00266,SUP-006,corporate,mro,2024-03-08,2024-03-20,41770.88,net_60,closed
PO-00267,SUP-050,manufacturing,indirect,2025-05-23,2025-06-07,32700.38,net_90,closed
PO-00268,SUP-031,manufacturing,mro,2024-11-26,2024-12-08,80648.48,net_60,closed
PO-00269,SUP-018,logistics,services,2025-07-14,2025-07-31,4395.56,net_90,closed
PO-00270,SUP-050,facilities,indirect,2025-01-29,2025-02-08,107704.52,net_30,closed
PO-00271,SUP-031,manufacturing,mro,2024-11-02,2024-11-11,31603.39,net_30,closed
PO-00272,SUP-020,facilities,mro,2024-12-03,2024-12-27,145539.96,net_90,closed
PO-00273,SUP-006,logistics,mro,2024-05-04,2024-05-12,80928.85,net_60,closed
PO-00274,SUP-035,it,mro,2024-03-29,2024-04-09,116611.65,net_60,closed
PO-00275,SUP-007,manufacturing,services,2024-09-17,2024-10-05,5447.33,net_90,closed
PO-00276,SUP-031,corporate,mro,2024-07-12,2024-07-24,72641.44,net_30,closed
PO-00277,SUP-049,corporate,direct_materials,2024-01-12,2024-02-07,1129709.22,net_90,closed
PO-00278,SUP-006,logistics,mro,2025-03-25,2025-04-05,82529.28,net_90,closed
PO-00279,SUP-009,corporate,direct_materials,2024-07-29,2024-08-07,643319.14,net_60,closed
PO-00280,SUP-031,manufacturing,mro,2025-11-09,2025-11-23,30091.34,net_90,closed
PO-00281,SUP-006,it,mro,2024-12-03,2024-12-15,105948.4,net_90,closed
PO-00282,SUP-019,manufacturing,services,2026-01-12,2026-01-30,5889.7,net_90,closed
PO-00283,SUP-014,logistics,indirect,2025-06-07,2025-06-27,9876.71,net_30,closed
PO-00284,SUP-006,it,mro,2026-03-23,2026-04-06,147072.8,net_30,open
PO-00285,SUP-031,manufacturing,mro,2024-02-29,2024-03-08,175873.37,net_60,closed
PO-00286,SUP-031,manufacturing,mro,2025-08-31,2025-09-12,31758.21,net_30,closed
PO-00287,SUP-039,logistics,mro,2025-12-28,2026-01-13,18480.27,net_30,closed
PO-00288,SUP-031,logistics,mro,2024-05-05,2024-05-16,22339.92,net_90,closed
PO-00289,SUP-006,manufacturing,mro,2025-09-15,2025-09-29,51952.44,net_60,closed
PO-00290,SUP-018,manufacturing,services,2025-09-10,2025-10-10,20382.28,net_30,closed
PO-00291,SUP-031,facilities,mro,2025-04-13,2025-04-26,8127.61,net_90,closed
PO-00292,SUP-031,manufacturing,mro,2024-12-21,2025-01-01,0.0,net_30,cancelled
PO-00293,SUP-028,facilities,mro,2025-12-22,2026-01-18,150021.44,net_30,closed
PO-00294,SUP-039,facilities,mro,2025-03-06,2025-03-20,71101.8,net_30,closed
PO-00295,SUP-031,corporate,mro,2024-03-31,2024-04-09,78969.81,net_90,closed
PO-00296,SUP-006,it,mro,2025-08-12,2025-08-25,40657.44,net_60,closed
PO-00297,SUP-006,manufacturing,mro,2025-05-05,2025-05-17,84108.17,net_90,closed
PO-00298,SUP-031,corporate,mro,2024-03-09,2024-03-22,93000.84,net_30,closed
PO-00299,SUP-021,it,mro,2024-10-04,2024-10-13,57629.02,net_30,closed
PO-00300,SUP-006,manufacturing,mro,2024-06-25,2024-07-03,33320.65,net_30,closed
PO-00301,SUP-001,facilities,indirect,2026-03-10,2026-03-18,70123.06,net_30,open
PO-00302,SUP-032,logistics,indirect,2025-08-26,2025-09-25,58520.61,net_90,closed
